chr geneProduct text_gene start end strand gene_id
1 lincRNA gene 714150 745440 + ENSG00000237491
1 protein_coding gene 1167629 1170421 + ENSG00000176022
1 protein_coding gene 1260136 1264277 + ENSG00000224051
1 protein_coding gene 1334902 1337426 + ENSG00000224870
1 protein_coding gene 1370241 1378262 + ENSG00000179403
1 antisense gene 1590786 1594063 + ENSG00000272004
1 pseudogene gene 1655951 1668690 + ENSG00000227775
1 protein_coding gene 2323267 2336883 + ENSG00000157916
1 protein_coding gene 3773845 3801993 + ENSG00000169598
1 lincRNA gene 3816936 3833789 + ENSG00000236423
1 antisense gene 6296300 6299504 + ENSG00000225077
1 protein_coding gene 6484848 6521430 + ENSG00000187017
1 lincRNA gene 8086798 8182762 + ENSG00000238290
1 protein_coding gene 10003486 10045559 + ENSG00000173614
1 protein_coding gene 11751786 11785914 + ENSG00000162490
1 protein_coding gene 15479028 15546976 + ENSG00000171729
1 protein_coding gene 15736391 15756839 + ENSG00000142634
1 protein_coding gene 15853308 15918874 + ENSG00000116138
1 protein_coding gene 16679070 16724640 + ENSG00000055070
1 antisense gene 19536995 19567198 + ENSG00000230424
1 protein_coding gene 19638820 19655794 + ENSG00000040487
1 protein_coding gene 19923477 19956314 + ENSG00000173436
1 protein_coding gene 24104895 24114722 + ENSG00000057757
1 protein_coding gene 24285599 24289952 + ENSG00000189266
1 protein_coding gene 24882602 24935819 + ENSG00000184454
1 antisense gene 26186104 26189911 + ENSG00000236528
1 protein_coding gene 27561007 27635110 + ENSG00000142784
1 lincRNA gene 28969740 28975093 + ENSG00000229388
1 protein_coding gene 31769842 31837783 + ENSG00000121766
1 protein_coding gene 33116743 33151812 + ENSG00000162521
1 protein_coding gene 33546705 33586131 + ENSG00000142920
1 protein_coding gene 37940153 37949980 + ENSG00000163874
1 protein_coding gene 38158090 38175391 + ENSG00000134690
1 antisense gene 39325672 39385068 + ENSG00000228436
1 protein_coding gene 40157854 40229586 + ENSG00000084072
1 protein_coding gene 40974413 40982228 + ENSG00000164002
1 lincRNA gene 41708045 41750533 + ENSG00000235358
1 protein_coding gene 43232940 43263968 + ENSG00000164008
1 protein_coding gene 43312280 43318148 + ENSG00000164011
1 lincRNA gene 43424720 43449029 + ENSG00000227533
1 protein_coding gene 43824626 43828874 + ENSG00000117399
1 protein_coding gene 43855553 43918321 + ENSG00000198198
1 protein_coding gene 44412611 44433694 + ENSG00000117408
1 protein_coding gene 45140364 45191263 + ENSG00000198520
1 protein_coding gene 46769303 46782448 + ENSG00000173660
1 antisense gene 47139708 47157770 + ENSG00000228237
1 protein_coding gene 51426417 51440305 + ENSG00000123080
1 protein_coding gene 52870236 52886511 + ENSG00000134748
1 protein_coding gene 53392901 53517375 + ENSG00000116171
1 antisense gene 53686335 53689925 + ENSG00000259818
1 lincRNA gene 53793905 53802181 + ENSG00000225675
1 protein_coding gene 54411750 54433841 + ENSG00000116212
1 protein_coding gene 54519260 54578192 + ENSG00000116205
1 lincRNA gene 56410760 56415792 + ENSG00000233079
1 protein_coding gene 57110995 57181008 + ENSG00000162409
1 antisense gene 63154153 63176365 + ENSG00000235545
1 protein_coding gene 67390578 67454302 + ENSG00000198160
1 protein_coding gene 70671365 70718735 + ENSG00000116754
1 protein_coding gene 70820488 70851022 + ENSG00000197568
1 processed_transcript gene 71547007 71955652 + ENSG00000229956
1 protein_coding gene 74663947 75010112 + ENSG00000116783
1 protein_coding gene 76190036 76253260 + ENSG00000117054
1 protein_coding gene 78445226 78604133 + ENSG00000137960
1 protein_coding gene 87380331 87602334 + ENSG00000153936
1 protein_coding gene 90098699 90398809 + ENSG00000271949
1 lincRNA gene 91317316 91319843 + ENSG00000225446
1 protein_coding gene 95285898 95360802 + ENSG00000143036
1 antisense gene 95393122 95428826 + ENSG00000235501
1 protein_coding gene 95699711 95712781 + ENSG00000122481
1 protein_coding gene 100598706 100616053 + ENSG00000122435
1 protein_coding gene 100731763 100758325 + ENSG00000137996
1 protein_coding gene 101361632 101447309 + ENSG00000162695
1 protein_coding gene 104068313 104097861 + ENSG00000185946
1 antisense gene 113258294 113260418 + ENSG00000261595
1 protein_coding gene 113615831 113674882 + ENSG00000198799
1 protein_coding gene 118148556 118170994 + ENSG00000183508
1 protein_coding gene 118472343 118509165 + ENSG00000065183
1 pseudogene gene 143913615 144094424 + ENSG00000196369
1 protein_coding gene 145470508 145475646 + ENSG00000181039
1 protein_coding gene 145516252 145523730 + ENSG00000131779
1 protein_coding gene 145611036 145696218 + ENSG00000121848
1 antisense gene 145827205 145833118 + ENSG00000235702
1 lincRNA gene 147634989 147658907 + ENSG00000232265
1 protein_coding gene 150980896 151008189 + ENSG00000143363
1 protein_coding gene 151043054 151098018 + ENSG00000143458
1 antisense gene 151967007 152015250 + ENSG00000229021
1 protein_coding gene 154474695 154520623 + ENSG00000163239
1 protein_coding gene 154947129 154951725 + ENSG00000173207
1 protein_coding gene 155006300 155023406 + ENSG00000163357
1 protein_coding gene 155829300 155854990 + ENSG00000132718
1 protein_coding gene 156252726 156262976 + ENSG00000163472
1 protein_coding gene 161129240 161135513 + ENSG00000143258
1 lincRNA gene 161337812 161341754 + ENSG00000235477
1 protein_coding gene 169337208 169365778 + ENSG00000117475
