chr geneProduct text_gene start end strand gene_id
1 lincRNA gene 700237 714006 - ENSG00000228327
1 protein_coding gene 1152288 1167411 - ENSG00000078808
1 protein_coding gene 1246965 1260071 - ENSG00000127054
1 protein_coding gene 1321091 1334708 - ENSG00000221978
1 lincRNA gene 1365919 1369953 - ENSG00000225285
1 protein_coding gene 1570603 1590473 - ENSG00000248333
1 protein_coding gene 1634169 1655766 - ENSG00000008128
1 protein_coding gene 2252692 2323146 - ENSG00000116151
1 protein_coding gene 3728645 3773778 - ENSG00000116198
1 protein_coding gene 3805689 3816857 - ENSG00000198912
1 protein_coding gene 6281253 6296032 - ENSG00000116237
1 protein_coding gene 6472478 6484730 - ENSG00000069812
1 protein_coding gene 8064464 8086368 - ENSG00000116285
1 protein_coding gene 9982173 10003465 - ENSG00000162441
1 protein_coding gene 11734537 11751707 - ENSG00000116670
1 processed_transcript gene 15442448 15478960 - ENSG00000175147
1 lincRNA gene 15729475 15735929 - ENSG00000228140
1 protein_coding gene 15817327 15853029 - ENSG00000132906
1 protein_coding gene 16573334 16678949 - ENSG00000037637
1 protein_coding gene 19401000 19536770 - ENSG00000127481
1 protein_coding gene 19630459 19638640 - ENSG00000053371
1 antisense gene 19918296 19923326 - ENSG00000235185
1 antisense gene 24086872 24104777 - ENSG00000236810
1 protein_coding gene 24197016 24285549 - ENSG00000188822
1 lincRNA gene 24865292 24882515 - ENSG00000264443
1 protein_coding gene 26158414 26185903 - ENSG00000127423
1 antisense gene 27555597 27560843 - ENSG00000224311
1 protein_coding gene 28915835 28969597 - ENSG00000120656
1 protein_coding gene 31732417 31769662 - ENSG00000060688
1 protein_coding gene 33065773 33116504 - ENSG00000176261
1 protein_coding gene 33473585 33546597 - ENSG00000004455
1 antisense gene 37920480 37940012 - ENSG00000233621
1 protein_coding gene 38147242 38157914 - ENSG00000116922
1 protein_coding gene 39303870 39325495 - ENSG00000116954
1 protein_coding gene 40144320 40157361 - ENSG00000116983
1 antisense gene 40958829 40974333 - ENSG00000238287
1 protein_coding gene 41492872 41707826 - ENSG00000010803
1 protein_coding gene 43212006 43232755 - ENSG00000117385
1 antisense gene 43300352 43312093 - ENSG00000228192
1 protein_coding gene 43391052 43424530 - ENSG00000117394
1 antisense gene 43820355 43824329 - ENSG00000234694
1 protein_coding gene 43849588 43855479 - ENSG00000159479
1 antisense gene 44410042 44412223 - ENSG00000237950
1 protein_coding gene 45100910 45140227 - ENSG00000126106
1 protein_coding gene 46726868 46769280 - ENSG00000132128
1 protein_coding gene 47098409 47139539 - ENSG00000123472
1 protein_coding gene 50905150 51425935 - ENSG00000185104
1 protein_coding gene 52838501 52870131 - ENSG00000085840
1 protein_coding gene 53361656 53392884 - ENSG00000121310
1 protein_coding gene 53679771 53686289 - ENSG00000162384
1 protein_coding gene 53711217 53793742 - ENSG00000157193
1 protein_coding gene 54382247 54411602 - ENSG00000081870
1 protein_coding gene 54497347 54519177 - ENSG00000116209
1 lincRNA gene 56381282 56410636 - ENSG00000230250
1 protein_coding gene 56960419 57110974 - ENSG00000162407
1 protein_coding gene 62920399 63153969 - ENSG00000116641
1 protein_coding gene 67278568 67390570 - ENSG00000152763
1 protein_coding gene 70610488 70671303 - ENSG00000066557
1 protein_coding gene 70726271 70820417 - ENSG00000118454
1 protein_coding gene 71528974 71546980 - ENSG00000132485
1 protein_coding gene 74491699 74663871 - ENSG00000162620
1 antisense gene 76175688 76189696 - ENSG00000178193
1 protein_coding gene 78409740 78444794 - ENSG00000162613
1 protein_coding gene 87328132 87380107 - ENSG00000183291
1 antisense gene 90048800 90098453 - ENSG00000231999
1 lincRNA gene 91248543 91317207 - ENSG00000233593
1 lincRNA gene 95104017 95285837 - ENSG00000224081
1 protein_coding gene 95362507 95392834 - ENSG00000117519
1 antisense gene 95628775 95699538 - ENSG00000226026
1 protein_coding gene 100549119 100598511 - ENSG00000156876
1 antisense gene 100729565 100731676 - ENSG00000224616
1 protein_coding gene 101337943 101361554 - ENSG00000162694
1 antisense gene 103960701 104068105 - ENSG00000224613
1 protein_coding gene 113252616 113258099 - ENSG00000155367
1 lincRNA gene 113554309 113615727 - ENSG00000238198
1 antisense gene 118139454 118148392 - ENSG00000236866
1 protein_coding gene 118406107 118472253 - ENSG00000196505
1 protein_coding gene 143896452 143913143 - ENSG00000215784
1 protein_coding gene 145456236 145470388 - ENSG00000121851
1 pseudogene gene 145509752 145516076 - ENSG00000211451
1 protein_coding gene 145592605 145611025 - ENSG00000186141
1 protein_coding gene 145764411 145827103 - ENSG00000117262
1 protein_coding gene 147574428 147634886 - ENSG00000203836
1 protein_coding gene 150969025 150980851 - ENSG00000143409
1 protein_coding gene 151023447 151042801 - ENSG00000197622
1 protein_coding gene 151955391 151966866 - ENSG00000197747
1 protein_coding gene 154442248 154474589 - ENSG00000169291
1 protein_coding gene 154934774 154946871 - ENSG00000160691
1 protein_coding gene 154990996 155006257 - ENSG00000163354
1 protein_coding gene 155719508 155829191 - ENSG00000116580
1 protein_coding gene 156219015 156252620 - ENSG00000198952
1 antisense gene 161123550 161129139 - ENSG00000224985
1 protein_coding gene 161334521 161337664 - ENSG00000188931
1 protein_coding gene 169101769 169337205 - ENSG00000143156
1 protein_coding gene 175913967 176176629 - ENSG00000143207
1 processed_transcript gene 183430009 183440881 - ENSG00000232860
1 protein_coding gene 183592401 183604892 - ENSG00000162704
1 protein_coding gene 185087220 185126204 - ENSG00000121486
1 protein_coding gene 186280784 186344825 - ENSG00000047410
1 protein_coding gene 200938520 200992828 - ENSG00000116852
1 pseudogene gene 202820956 202830748 - ENSG00000214796
1 lincRNA gene 203267886 203274437 - ENSG00000233791
1 protein_coding gene 204187979 204346793 - ENSG00000143850
1 antisense gene 206214526 206223548 - ENSG00000226780
1 protein_coding gene 211836114 211848960 - ENSG00000117650
1 protein_coding gene 212113741 212208884 - ENSG00000143493
1 protein_coding gene 212899495 212965124 - ENSG00000117697
1 lincRNA gene 213025450 213031430 - ENSG00000198468
1 protein_coding gene 217600334 217804424 - ENSG00000092978
1 lincRNA gene 229394028 229406775 - ENSG00000177788
1 protein_coding gene 229577045 229644103 - ENSG00000069248
1 protein_coding gene 229728858 229761794 - ENSG00000135801
1 protein_coding gene 231041989 231114621 - ENSG00000143643
1 protein_coding gene 231359509 231376933 - ENSG00000143633
1 antisense gene 231658134 231664302 - ENSG00000233461
1 protein_coding gene 246703862 246729626 - ENSG00000162851
1 protein_coding gene 249144205 249153343 - ENSG00000171163
2 protein_coding gene 9543604 9563676 - ENSG00000119185
2 lincRNA gene 11239977 11272947 - ENSG00000145063
