gene_id transcript_id scRNAseq_HepG2_72x_15_1.1 scRNAseq_HepG2_72x_15_1.2 scRNAseq_HepG2_72x_15_1.3 scRNAseq_HepG2_72x_15_1.4 scRNAseq_HepG2_72x_15_1.5 scRNAseq_HepG2_72x_15_1.6 scRNAseq_HepG2_72x_15_1.8 scRNAseq_HepG2_72x_15_2.1 scRNAseq_HepG2_72x_15_2.2 scRNAseq_HepG2_72x_15_2.3 scRNAseq_HepG2_72x_15_2.4 scRNAseq_HepG2_72x_15_2.5 scRNAseq_HepG2_72x_15_2.6 scRNAseq_HepG2_72x_15_2.7 scRNAseq_HepG2_72x_15_2.8 scRNAseq_HepG2_72x_15_3.1 scRNAseq_HepG2_72x_15_3.2 scRNAseq_HepG2_72x_15_3.3 scRNAseq_HepG2_72x_15_3.4 scRNAseq_HepG2_72x_15_3.5 scRNAseq_HepG2_72x_15_3.7 scRNAseq_HepG2_72x_15_3.8 scRNAseq_HepG2_72x_15_4.1 scRNAseq_HepG2_72x_15_4.2 scRNAseq_HepG2_72x_15_4.3 scRNAseq_HepG2_72x_15_4.4 scRNAseq_HepG2_72x_15_4.5 scRNAseq_HepG2_72x_15_4.6 scRNAseq_HepG2_72x_15_4.7 scRNAseq_HepG2_72x_15_4.8 scRNAseq_HepG2_72x_15_5.1 scRNAseq_HepG2_72x_15_5.2 scRNAseq_HepG2_72x_15_5.4 scRNAseq_HepG2_72x_15_5.5 scRNAseq_HepG2_72x_15_5.6 scRNAseq_HepG2_72x_15_5.7 scRNAseq_HepG2_72x_15_5.8 scRNAseq_HepG2_72x_15_6.1 scRNAseq_HepG2_72x_15_6.2 scRNAseq_HepG2_72x_15_6.3 scRNAseq_HepG2_72x_15_6.4 scRNAseq_HepG2_72x_15_6.5 scRNAseq_HepG2_72x_15_6.6 scRNAseq_HepG2_72x_15_6.7 scRNAseq_HepG2_72x_15_6.8 scRNAseq_HepG2_72x_15_7.1 scRNAseq_HepG2_72x_15_7.2 scRNAseq_HepG2_72x_15_7.3 scRNAseq_HepG2_72x_15_7.4 scRNAseq_HepG2_72x_15_7.5 scRNAseq_HepG2_72x_15_7.6 scRNAseq_HepG2_72x_15_8.1 scRNAseq_HepG2_72x_15_8.2 scRNAseq_HepG2_72x_15_8.3 scRNAseq_HepG2_72x_15_8.4 scRNAseq_HepG2_72x_15_8.6 scRNAseq_HepG2_72x_15_8.7 scRNAseq_HepG2_72x_15_8.8 scRNAseq_HepG2_72x_15_9.1 scRNAseq_HepG2_72x_15_9.2 scRNAseq_HepG2_72x_15_9.3 scRNAseq_HepG2_72x_15_9.5 scRNAseq_HepG2_72x_15_9.6 scRNAseq_HepG2_72x_15_9.7 scRNAseq_HepG2_72x_15_9.8
ENSG00000237491 ENST00000429505.1_RP11-206L10.9-001 0 6.13 0 0 0 0 0 1.12 6.54 0 0 0 0 0 0 0 0 0 0 2.2 0 0 0 0 0 0 0 0 0 0 0 0 0 7.68 0 0 25.99 0 0 0 0 0 0 0 0 0 2.05 0 0 0 0 0 0 0 0 0 0 0 7.71 54.56 0.94 0 0 0 0
ENSG00000176022 ENST00000379198.2_B3GALT6-001 0 23.57 0 9.03 0 0 7.01 11.19 2.08 0.92 0 7.1 0 0 0 6.55 0 0 5.72 0.19 1.56 3.34 0 4.23 0 0.35 8.14 0 0 0.52 0 0 7.26 0 0 0 2.34 0 5.76 0 4.51 0 0 0 3.95 6.83 7.04 0 1.87 0 5.08 0.3 0 0 0 0 0 0 19.7 0 0 0.86 0.13 0.83 2.69
ENSG00000224051 ENST00000343938.4_GLTPD1-001 1.24 0 0 0.89 0.4 0 0 1.49 0 0 0 3.96 0 0.86 0 0 1.02 0 0 12.53 0 0.92 0 0 17.19 0 2.68 0 0 0 0 0 3.03 0 0 0 15.25 19.72 0 0 6.89 0 0 0 0 8.11 12.3 0 0.24 0.25 2.38 19.75 0 1.53 0 0 0 0 0 0 0 0 0 4.56 0
ENSG00000224870 ENST00000418833.2_RP4-758J18.2-003 73.27 31.52 2.96 12.71 15.42 0 7.66 17.14 0 0 12.69 26.79 30.3 37.48 19.71 32.25 1.93 0 1.04 20.88 0 34.8 0 0 0 1.3 0 5.97 0 0 0 1.46 26.06 0 44.04 0 0 0 0.58 38.98 8.53 0 0 0 55.96 2.56 20.89 0 1.4 47.33 0 0 9.98 0 75.87 0 0 0 0 0 1.89 0 0 13.56 17.13
ENSG00000179403 ENST00000338660.5_VWA1-002 0 0 0 0 0 0.53 0 1.5 1.05 0 0 0.61 1.59 2.84 0 3.89 0.51 0 1.43 2.56 0.67 0.31 3.5 2.22 0 0.91 3.98 0 1.88 0 0.86 0 7.22 0 5.84 0 2.33 3.55 0 0.09 7.77 5.84 30.42 0.24 11.01 2.3 2.08 0 0 12.33 16.6 4.92 1.29 11.84 1.78 4.43 4.9 0 0 6.54 2.85 0 9.11 0 0
ENSG00000272004 ENST00000607013.1_RP11-345P4.10-001 0 0.66 0 8.01 7.33 0 0 0 0 1.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29.53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ENSG00000227775 ENST00000417099.1_RP1-283E3.4-002 0 0 0 0 0 0 0 3.26 0.36 0 0 0 0 0 0 0 1.38 0 0 0 0 0.64 0 0 0 0 0 0 0 0 0 0 0.48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.3 0 0 0 10.85 0 0 0 0 6.75 0 0 0 0.82 0
ENSG00000157916 ENST00000306256.9_RER1-008 86.28 45.05 362.05 162.29 201.34 125.76 135.06 377.71 266.79 32.1 59.25 98.9 197.18 82.15 257.74 328.14 238.64 169.5 262.81 198.2 217.21 205.97 55.6 255.41 123.15 177.6 149.05 228.96 433.02 149.46 239.72 170.63 272.05 234.05 159.3 159.17 223.97 386.95 228.38 322.17 248.89 256.95 0 265.64 146.87 190.07 107.06 203.76 259.64 48.81 246.81 79.67 152.51 184.7 130.18 114.58 279.38 294.79 104.59 146.06 91.63 194.4 18.8 44.97 171.15
ENSG00000169598 ENST00000338895.3_DFFB-201 0 0 0 0 0 0.21 0 0.44 2.84 0 0 0.96 4.01 0.23 0 0 0 0 0 2.99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20.73 0 0 0 0 0 0 0 8.11 0
ENSG00000236423 ENST00000413332.1_RP13-15E13.1-002 0 31.79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.46 0 0 0 0 0 0 8.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.71 0 0 0 0 0 0
